"genename"	"genestatus"
"PRKDC"	1
"PRKRIR"	1
"PRL"	1
"PRMT1"	1
"PRMT3"	1
"PRPF18"	1
"PRPF38B"	1
"PRPF39"	1
"PRPF4B"	1
"PRPS1L1"	1
"PRR19"	1
"PRR7"	1
"PRRC2C"	1
"PRRT2"	1
"PRRT4"	1
"PRSS23"	1
"PRSS8"	1
"PSD3"	1
"PSMA1"	1
"PSMA3"	1
"PSMA8"	1
"PSMB4"	1
"PSMB7"	1
"PSMC1"	1
"PSMD1"	1
"PSMD12"	1
"PSMD6"	1
"PSMD7"	1
"PSME2"	1
"PSME3"	1
"PSMG2"	1
"PTCD1"	1
"PTCD3"	1
"PTDSS1"	1
"PTEN"	1
"PTMS"	1
"PTP4A2"	1
"PTPN11"	1
"PTPN2"	1
"PTPN23"	1
"PTPN6"	1
"PTPRC"	1
"PTPRCAP"	1
"PTPRK"	1
"PTRH2"	1
"PTS"	1
"PUF60"	1
"PURB"	1
"PUSL1"	0
"PXN"	1
"PYCARD"	1
"PYGO2"	1
"R3HDM1"	1
"RAB11A"	1
"RAB11FIP1"	1
"RAB11FIP3"	0
"RAB28"	1
"RAB3GAP1"	1
"RAB5B"	1
"RABGEF1"	1
"RABL3"	1
"RAD23A"	1
"RAE1"	1
"RAG1"	1
"RANBP1"	1
"RANBP10"	1
"RANBP3"	1
"RANBP6"	1
"RANGRF"	1
"RAP1B"	1
"RAP1GDS1"	1
"RAP2B"	1
"RARB"	1
"RARS"	1
"RASAL3"	1
"RASSF7"	0
"RAVER1"	1
"RBM12"	1
"RBM12B"	1
"RBM14"	1
"RBM27"	1
"RBM33"	1
"RBM4B"	1
"RBM7"	1
"RC3H1"	1
"RCAN1"	1
"RCBTB2"	1
"RCN2"	1
"RDH14"	1
"RELA"	1
"RELB"	1
"RER1"	0
"REST"	1
"RETN"	1
"REXO1"	1
"REXO4"	1
"RFX1"	1
"RG9MTD1"	1
"RGL2"	1
"RGL4"	1
"RGPD1"	1
"RGS11"	0
"RHAG"	1
"RHBDF1"	1
"RHEB"	1
"RHEBL1"	1
"RHOB"	1
"RHOBTB3"	1
"RHOT2"	1
"RIC8B"	1
"RILP"	1
"RIMBP3"	1
"RIOK3"	1
"RLF"	1
"RNF11"	1
"RNF121"	1
"RNF123"	1
"RNF126"	0
"RNF135"	1
